Change in Housing Units
0.018711159
0.016069186
0.060467896
0.027714893
0.062795789
0.036295121
0.030454596
0.033988846
0.058858787
0.084995835
0.04413849
0.009605896
0.019705151
0.049079931
0.040665927
-0.004734101
0.046285213
0.03757252
0.068951771
0.084754
0.047619355
0.056395917
0.088397543
0.03820871
-0.006124207
0.074751518
