Employment
0.8313
0.836
0.8282
0.8004
0.8255
0.822
0.8437
0.8249
0.8229
0.8098
0.8273
0.7795
0.797
0.8181
0.8183
0.8431
0.8197
0.8215
0.8224
0.823
0.7295
0.7838
0.7914
0.7894
0.7502
0.7892
