Owners
0.275
0.388
0.335
0.446
0.416
0.438
0.381
0.489
0.342
0.438
0.487
0.149
0.451
0.448
0.485
0.506
0.411
0.438
0.493
0.47
0.382
0.306
0.568
0.312
0.175
0.552
