Companyconcentration,Employeeconcentration
0.083799412,0.087834311
0.070160952,0.069973914
0.108685429,0.137688893
0,0
0,0
0,0
0.080361269,0.081646195
0,0.552469748
0.07641266,0.081820019
0.082180726,0.090848868
1,0.372589325
0.079397076,0.10861799
0.093173983,0.160471777
0.084757127,0.109475459
0.071773474,0.070504411
0.086299285,0.095893048
0.089036448,0.09684684
0,0.291030485
0.072788168,0.086545013
0.070384615,0.22836111
0.076802357,0.095146652
0.074259976,0.071921403
0.079330633,0.085135365
0.075590145,0.081149225
0.085040622,0.080181635
0.075807669,0.103156036
0.080740085,0.095063407
0.110092474,0.128440655
0.078574308,0.106432853
0.075298015,0.08445926
0.080309096,0.071028283
0.070734531,0.10797346
0.075832367,0.083265816
0.085944216,0.11366065
0.081182192,0.08226203
0.073260351,0.082252781
0.513888889,0.177264294
0.069711652,0.0738071
0.067806291,0.070375568
0.072242341,0.075785454
0.077766698,0.085069342
0.078445955,0.096400574
0.07618719,0.083272699
0.0874889,0.079149884
0.11857577,0.200907368
0.166431332,0.470034039
0.073920122,0.108590458
0.071505268,0.087719537
0.090243555,0.086638443
0.073386291,0.093631008
0.106198459,0.159002658
0.143456666,0.160022243
0.103706789,0.21165082
0.095142919,0.184610916
0.106469253,0.146332321
0.122358731,0.227461982
0.076141494,0.194920613
0.075614737,0.200246617
0.096647817,0.122667603
0.071596923,0.097660402
0.087421584,0.105320136
0.103628808,0.124294691
0.082768769,0.096782388
0.084142038,0.1004385
0.121536373,0.138494808
0.111322799,0.117544196
0.080075121,0.110080249
0.076098951,0.106039938
0.105536949,0.085911452
0.090615868,0.109653433
0.090099159,0.119126648
0.08636531,0.10749892
0.089710978,0.113639736
0.0685983,0.107998531
0.088103452,0.096045115
0.088821635,0.08772283
0.083223592,0.082603405
0.098332902,0.097994198
0.093170286,0.110830298
0.076744115,0.098913513
0.156363636,0.119381231
0.077671239,0.098373682
0.078800687,0.097590975
0.08086249,0.09363167
0.080857416,0.083388403
