Canton,ID,NOGA,Size,Establishment,Nr,Companies,Employees,Households,Houseprices,Population,Graduates,Employment,Owners
Zürich,25,25 Herstellung von Metallerzeugnissen,1,1-9 Employees,1,-0.112232030264817,-0.112334801762115,651857,0.151746923129009,14.1465365621776,220350,0.8313,0.275
Zürich,25,25 Herstellung von Metallerzeugnissen,2,10-49 Employees,1,-0.0964467005076142,-0.0921221452399281,651857,0.151746923129009,14.1465365621776,220350,0.8313,0.275
Zürich,25,25 Herstellung von Metallerzeugnissen,3,50-249 Employees,1,0.0666666666666667,-0.155604257983719,651857,0.151746923129009,14.1465365621776,220350,0.8313,0.275
Zürich,26,"26 Herstellung von Datenverarbeitungsgeräten, elektronischen und optischen Erzeugnissen",1,1-9 Employees,1,-0.160714285714286,-0.114130434782609,651857,0.151746923129009,14.1465365621776,220350,0.8313,0.275
Zürich,26,"26 Herstellung von Datenverarbeitungsgeräten, elektronischen und optischen Erzeugnissen",2,10-49 Employees,1,-0.218390804597701,-0.0962365591397849,651857,0.151746923129009,14.1465365621776,220350,0.8313,0.275
Zürich,26,"26 Herstellung von Datenverarbeitungsgeräten, elektronischen und optischen Erzeugnissen",3,50-249 Employees,1,-0.185185185185185,-0.241441441441441,651857,0.151746923129009,14.1465365621776,220350,0.8313,0.275
Zürich,26,"26 Herstellung von Datenverarbeitungsgeräten, elektronischen und optischen Erzeugnissen",4,250+ Employees,1,0.125,0.220063640931167,651857,0.151746923129009,14.1465365621776,220350,0.8313,0.275
Zürich,27,27 Herstellung von elektrischen Ausrüstungen,1,1-9 Employees,1,0,0.0838150289017341,651857,0.151746923129009,14.1465365621776,220350,0.8313,0.275
Zürich,27,27 Herstellung von elektrischen Ausrüstungen,2,10-49 Employees,1,-0.351351351351351,-0.199760765550239,651857,0.151746923129009,14.1465365621776,220350,0.8313,0.275
Zürich,27,27 Herstellung von elektrischen Ausrüstungen,3,50-249 Employees,1,0.6,0.05621925509487,651857,0.151746923129009,14.1465365621776,220350,0.8313,0.275
Zürich,28,28 Maschinenbau,1,1-9 Employees,1,-0.180790960451977,-0.192675159235669,651857,0.151746923129009,14.1465365621776,220350,0.8313,0.275
Zürich,28,28 Maschinenbau,2,10-49 Employees,1,0.0425531914893617,-0.0244672454617206,651857,0.151746923129009,14.1465365621776,220350,0.8313,0.275
Zürich,28,28 Maschinenbau,3,50-249 Employees,1,-0.171428571428571,-0.0566108707917999,651857,0.151746923129009,14.1465365621776,220350,0.8313,0.275
Zürich,29,29 Herstellung von Automobilen und Automobilteilen,1,1-9 Employees,1,0.130434782608696,-0.207792207792208,651857,0.151746923129009,14.1465365621776,220350,0.8313,0.275
Zürich,29,29 Herstellung von Automobilen und Automobilteilen,2,10-49 Employees,1,-0.2,0.21264367816092,651857,0.151746923129009,14.1465365621776,220350,0.8313,0.275
Zürich,30,30 Sonstiger Fahrzeugbau,1,1-9 Employees,1,0.333333333333333,0.0869565217391304,651857,0.151746923129009,14.1465365621776,220350,0.8313,0.275
Zürich,31,31 Herstellung von Möbeln,1,1-9 Employees,1,-0.0101010101010101,-0.102941176470588,651857,0.151746923129009,14.1465365621776,220350,0.8313,0.275
Zürich,31,31 Herstellung von Möbeln,2,10-49 Employees,1,0,0.0359712230215827,651857,0.151746923129009,14.1465365621776,220350,0.8313,0.275
Zürich,31,31 Herstellung von Möbeln,3,50-249 Employees,1,0,-0.286423841059603,651857,0.151746923129009,14.1465365621776,220350,0.8313,0.275
Zürich,32,32 Herstellung von sonstigen Waren,1,1-9 Employees,1,0.00319488817891374,-0.062359128474831,651857,0.151746923129009,14.1465365621776,220350,0.8313,0.275
Zürich,32,32 Herstellung von sonstigen Waren,2,10-49 Employees,1,-0.2,-0.150684931506849,651857,0.151746923129009,14.1465365621776,220350,0.8313,0.275
Zürich,33,33 Reparatur und Installation von Maschinen und Ausrüstungen,1,1-9 Employees,1,0,0.00439882697947214,651857,0.151746923129009,14.1465365621776,220350,0.8313,0.275
Zürich,33,33 Reparatur und Installation von Maschinen und Ausrüstungen,2,10-49 Employees,1,0,-0.0115440115440115,651857,0.151746923129009,14.1465365621776,220350,0.8313,0.275
Zürich,35,35 Energieversorgung,1,1-9 Employees,1,0.325,0.215189873417722,651857,0.151746923129009,14.1465365621776,220350,0.8313,0.275
